cluster,mean_age,female_ratio,size
49,39.758364421466965,0.4645070729875242,476602
50,45.1519779205315,0.45249531250895925,523201
51,41.55446284012239,0.6748526158371544,566377
52,26.029620843711697,0.5232139327086546,505860
53,17.838102816442674,0.5025558812573259,512739
54,9.51614238410596,0.4482960816777042,57984
55,60.82491273448034,0.5103556231369436,580699
56,58.220289785826054,0.4692117491071109,83717
57,42.85860103466435,0.23516585263433254,581058
58,50.782568534601744,0.39656636867475,94186
59,29.723438361266293,3.575418994413408e-05,671250
60,53.989819483468686,0.0,51962
61,47.618232561318045,0.5548320412175379,819457
62,56.51339007681129,0.44522241304470905,52987
63,48.224097396842346,0.4765821635538688,831567
64,37.33143088955839,0.29869980032714344,537379
65,52.133710500896925,0.6987127678448225,50729
66,57.44197710136833,0.4530689751466071,89525
67,50.001597175521184,0.21866173503698721,59480
68,55.14865359956036,0.2805092507785309,54590
69,36.4685044040452,0.40241406921913464,67438
70,51.8441180874426,0.1804127570373328,80144
71,42.949442929263626,0.4086273428886439,137864
72,45.247917140675064,0.47259929540010176,690037
73,58.37691665401549,0.2852398664035221,52696
74,67.65733424939883,0.4237243347514732,75686
75,54.97599792734608,0.4418731609822899,108074
76,59.05541001183456,0.42009649717285535,197726
77,20.971431255839065,0.5192976977210111,755686
78,10.260489372349673,0.42320962941501833,37967
79,21.86792275626901,0.5060576943916659,138419
80,9.266403269754768,0.4610490463215259,146800
81,42.89634781585246,0.9999990804944365,1087541
82,51.48650858544563,1.0,61150
83,38.9176684080286,1.0,90925
84,48.271752750673016,1.0,247394
85,49.67609569081362,0.4683236224348155,1174282
86,60.67863577064049,0.4349723550972231,64388
87,59.086981537359996,0.5730706285480489,78212
88,58.773628719368844,0.5350482454242569,138666
89,52.0599311684583,0.4688263215394998,268191
90,57.48799232625062,0.5459582013196523,172015
91,55.56120527306968,0.5200238287405358,52038
92,27.314127785320547,0.4574042916546668,1385433
93,39.55603690667111,0.5678878637035802,48013
94,28.06781503272607,0.47031024786748893,42321
95,16.14347996298669,0.4774895010321019,56196
96,33.87149986866299,0.41040189125295506,57105
97,34.2953306066803,0.4328348670756646,46944
98,37.64673473982545,0.3442329850212563,75507
99,10.313954267697445,0.4224745097924941,343171
100,21.03151011950183,0.45200674866811813,142843
101,8.566810459604836,0.3652163107347642,56331
102,60.76976358120098,0.5256708709396327,628884
103,76.74780538610325,0.649704905024054,60489
104,64.24857931880945,0.5179871126112304,81475
105,69.27910996763885,0.4108259130469739,99502
106,53.854954579904145,0.5174581825556943,93681
107,72.77973702620768,0.5025741295495721,111494
108,63.93280608438813,0.5869081337449433,164881
109,71.02148296187609,0.481438943560424,197645
110,67.86308312999783,0.5948348754620346,206965
111,70.02307554378561,0.6721010744679383,72501
112,70.90916023981829,0.49207648829961437,302896
113,64.88700285182466,0.5119691251558257,292795
114,73.5551827969844,0.554861510643544,267674
115,65.31486728051536,0.5064083105669669,59298
