source,target,value
2,3,0.0008976660682226212
2,6,0.0008976660682226212
2,9,0.002244165170556553
2,11,0.0011220825852782765
2,13,0.0008976660682226212
2,14,0.0008976660682226212
2,21,0.0008976660682226212
2,26,0.0031418312387791743
2,32,0.0011220825852782765
2,35,0.0017953321364452424
2,36,0.0011220825852782765
2,37,0.004263913824057451
2,38,0.004263913824057451
2,42,0.0015709156193895871
2,47,0.008752244165170557
2,48,0.0013464991023339318
2,49,0.0013464991023339318
2,50,0.0015709156193895871
2,51,0.0011220825852782765
2,53,0.0011220825852782765
2,55,0.004263913824057451
2,57,0.0011220825852782765
2,59,0.0008976660682226212
2,61,0.0031418312387791743
2,63,0.002468581687612208
2,64,0.0033662477558348293
2,72,0.0017953321364452424
2,77,0.002244165170556553
2,79,0.0013464991023339318
2,81,0.0011220825852782765
2,85,0.003590664272890485
2,102,0.00763016157989228
2,112,0.0008976660682226212
2,113,0.002244165170556553
2,114,0.0013464991023339318
2,118,0.0008976660682226212
3,3,0.9569849478884429
3,4,2.6305682553545218e-05
3,5,0.00015257295881056227
3,6,0.0004208909208567235
3,7,0.00010522273021418087
3,8,6.313363812850852e-05
3,9,0.0003261904636639607
3,10,0.0002998847811104155
3,11,0.0002051843239176527
3,12,0.00021044546042836175
3,13,0.00013678954927843514
3,14,0.0004471966034102687
3,15,6.313363812850852e-05
3,16,0.00013678954927843514
3,17,0.00011048386672488992
3,18,7.891704766063565e-05
3,19,4.735022859638139e-05
3,20,4.208909208567235e-05
3,21,0.0009259600258847917
3,22,3.156681906425426e-05
3,23,0.00040510751132459636
3,24,7.891704766063565e-05
3,25,3.156681906425426e-05
3,26,0.00038932410179246923
3,27,0.0007523425210313932
3,28,0.0006576420638386304
3,29,0.0008154761591599017
3,30,9.996159370347183e-05
3,31,7.891704766063565e-05
3,32,0.0007102534289457208
3,33,0.00016309523183198035
3,34,0.00042615205736743254
3,35,0.0006471197908172123
3,36,0.0002998847811104155
3,37,0.00121006139746308
3,38,0.0009575268449490459
3,39,0.000489285695495941
3,40,5.787250161779948e-05
3,41,0.0010364438926096814
3,42,0.00428782625622787
3,43,0.000847042978224156
3,46,0.00019992318740694366
3,47,0.0009049154798419555
3,48,4.208909208567235e-05
3,49,0.0011153609402703173
3,50,0.0014047234483593146
3,51,0.0010417050291203905
3,52,0.0011574500323559896
3,53,0.0006208141082636672
3,55,0.0010206604830775544
3,57,0.001446812540444987
3,58,5.787250161779948e-05
3,59,8.41781841713447e-05
3,61,0.0009154377528633736
3,63,0.001588863226234131
3,64,0.0010469661656310996
3,69,5.2611365107090437e-05
3,71,4.735022859638139e-05
3,72,0.002067626648708654
3,73,0.00018940091438552557
3,74,5.787250161779948e-05
3,75,5.787250161779948e-05
3,76,2.1044546042836175e-05
3,77,0.0008628263877562832
3,79,6.839477463921757e-05
3,81,0.002793663487186502
3,82,6.313363812850852e-05
3,83,7.365591114992661e-05
3,84,0.00029462364459970644
3,85,0.0017414361850446934
3,88,4.208909208567235e-05
3,89,0.00012626727625701705
3,92,0.0010469661656310996
3,98,2.6305682553545218e-05
3,100,5.2611365107090437e-05
3,106,0.0015415129976377496
3,107,3.156681906425426e-05
3,109,4.208909208567235e-05
3,110,5.2611365107090437e-05
3,113,8.943932068205374e-05
3,114,6.839477463921757e-05
3,118,2.1044546042836175e-05
3,119,0.000242012279492616
3,120,3.6827955574963306e-05
3,122,2.6305682553545218e-05
3,124,2.1044546042836175e-05
4,4,0.9422527668689754
4,5,0.00044626918957515175
4,12,0.0009817922170653338
4,14,0.0005355230274901821
4,16,0.0006247768654052124
4,17,0.002231345947875759
4,23,0.0005355230274901821
4,26,0.0008032845412352731
4,27,0.0026776151374509104
4,28,0.0008032845412352731
4,29,0.0003570153516601214
4,33,0.0008032845412352731
4,35,0.00044626918957515175
4,36,0.00044626918957515175
4,37,0.0019635844341306676
4,38,0.0016065690824705462
4,41,0.006961799357372367
4,43,0.001785076758300607
4,46,0.0003570153516601214
4,47,0.0007140307033202428
4,49,0.0018743305962156372
4,50,0.0008925383791503035
4,52,0.0018743305962156372
4,53,0.0030346304891110316
4,57,0.0003570153516601214
4,59,0.0013388075687254552
4,61,0.0003570153516601214
4,63,0.0008032845412352731
4,64,0.006872545519457336
4,69,0.0009817922170653338
4,71,0.0006247768654052124
4,72,0.004016422706176365
4,77,0.00258836129953588
4,79,0.0003570153516601214
4,81,0.0008925383791503035
4,85,0.0009817922170653338
4,92,0.0018743305962156372
5,5,0.9571058881917118
5,6,0.0003190471126236308
5,8,0.0002126980750824205
5,9,0.0005317451877060512
5,10,0.0002481477542628239
5,11,0.00035449679180403417
5,12,0.0008862419795100854
5,13,0.00017724839590201708
5,14,0.0006380942252472616
5,16,0.0007089935836080683
5,17,0.00014179871672161367
5,23,0.0006380942252472616
5,25,0.0003899464709844376
5,26,0.0005317451877060512
5,27,0.00028359743344322734
5,28,0.0017724839590201708
5,29,0.0003190471126236308
5,30,0.00014179871672161367
5,32,0.00017724839590201708
5,33,0.0006380942252472616
5,34,0.0002481477542628239
5,35,0.0003899464709844376
5,36,0.0009571413378708923
5,37,0.002233329788365415
5,38,0.0011698394129533128
5,39,0.0005317451877060512
5,41,0.0005317451877060512
5,42,0.001098940054592506
5,43,0.0009925910170512956
5,46,0.00017724839590201708
5,47,0.0009571413378708923
5,49,0.0015597858839377504
