cluster,mean_age,female_ratio,size
49,34.54476200071646,0.433425129858499,178656
50,16.725393833310893,0.39484313989497777,14854
51,37.381368859961356,0.4500933023350417,422819
52,49.60406055209261,0.6177628604698951,364975
53,36.642073027605065,0.7104715843027223,366382
54,83.24579279516172,0.7592032605837497,15212
55,31.23397230383478,0.3291958159075901,313473
56,41.76190932698259,0.6510656333252604,594576
57,18.648713232994282,0.4657008094684032,79929
58,45.26110281843154,0.44667944426288875,566095
59,65.50455516538565,0.3563506290466485,122169
60,63.70715136765787,0.284330874337719,39447
61,26.215789079181793,0.5115152726552875,520309
62,47.8994526582627,0.48145541633338,842618
63,26.384619584683794,0.4490843066851873,1373604
64,10.012538600600728,0.4244377853279029,284322
65,39.29845820148546,0.5770805359674739,212998
66,45.13378936614401,0.7299338160174121,22513
67,46.92613875262789,0.4544658967383807,906145
68,18.212277613023193,0.5134009320402142,788378
69,15.495947907268661,0.4995645863570392,127465
70,37.874194178550496,0.30375342705673924,593804
71,37.39446520733227,0.22446164798006762,22476
72,41.5238171909834,0.400718355214268,80740
73,49.913927590896265,0.20324327098247505,77946
74,37.806161104193336,0.42479699749206407,114038
75,42.05791290145475,0.999999136749274,1158412
76,41.82922560886685,1.0,20571
77,47.54453725155469,1.0,229628
78,20.434002602863792,0.4937011661408925,621623
79,10.15291800292988,0.48467751514431645,101028
80,10.890088898684887,0.42039526853280434,68055
81,8.521130934740087,0.41461679805583546,101226
82,12.180838855365934,0.44478584385295966,27013
83,49.08142745540748,0.4694344266945596,1374782
84,53.905836961197856,0.48587770872283836,369593
85,66.82252040850051,0.4598274779389893,30257
86,63.8006656910849,0.49903876502826316,69702
87,78.92519153752394,0.5738290092286261,45944
88,73.85490774601064,0.42641843971631205,144384
89,57.59224057764892,0.5616145178053717,146248
90,71.48593345944914,0.5618632742671689,57619
91,51.591467275553086,0.47356588701063634,312702
92,59.51670762845316,0.4957032304508234,711232
93,35.49582373068775,0.45376484825234203,354503
94,42.771524819181614,0.3844248489051818,10093
95,14.49950874435056,0.4430907622104321,45801
96,53.17302491991513,0.6348129966301951,24037
97,35.88919803600655,0.4144026186579378,18330
98,10.388821014050091,0.42386586502909684,62206
99,60.68442068984087,0.4921362987694876,742780
100,49.258440594507505,0.47080866778906205,55239
101,54.9834110267035,0.6471426104972375,69504
102,74.13744921429954,0.44970872116769495,46519
103,64.49388670615141,0.47380226353134347,68212
104,57.72118827860998,0.4439400817067635,19827
105,66.7658268627127,0.4629439947133653,121060
106,64.30922791651872,0.5076997935324364,76041
107,64.49275965214635,0.3946435292486282,50481
108,43.89903590382394,0.3846782669625131,77067
109,74.35687390077787,0.4935610665848275,84719
110,82.72515975441674,0.4697406340057637,31924
111,70.24391673359526,0.6996895960407216,46069
112,64.30499243142303,0.6034773013425382,70687
113,16.929771707839592,0.3803307223672759,14937
114,78.87478024347365,0.3734699970146283,30147
115,55.77023498694517,0.34909583212455275,20682
